# ----------------------------------------
# Landing page
# Account: Sales Xceleration
# Property: Sales Xceleration - GA4
# ----------------------------------------
# 
# All Users
# Start date: 20251025
# End date: 20260122
Landing page + query string,Sessions,Key events,Total users,Bounce rate,New users,Engaged sessions,Views,Active users,Average engagement time per active user
/,9298,91,7902,0.5393633039363304,7438,4283,17153,7848,43.049949031600406
(not set),2724,169,2360,0.9798091042584435,614,55,0,1993,43.41144004014049
/sales-agility-assessment/,1336,8,1311,0.8817365269461078,1269,158,1983,1308,15.896024464831804
/about-sales-xceleration/,663,3,598,0.4917043740573152,539,337,933,592,33.366554054054056
/sales-recruiting/,652,1,624,0.8174846625766872,604,119,746,621,9.202898550724637
/consultants/,643,579,587,0.416796267496112,553,375,846,584,43.70890410958904
/become-a-consultant/contact-us/,630,2,629,0.4650793650793651,627,337,638,629,13.430842607313195
/become-a-consultant/,442,6,416,0.5384615384615384,366,204,720,409,33.01466992665037
/careers/,424,0,350,0.6297169811320755,318,157,580,348,32.60344827586207
/fresh-starts-new-beginnings-and-finding-your-professional-purpose/,333,0,329,0.5075075075075075,319,164,446,329,22.051671732522795
/state-of-sales/,310,0,304,0.8064516129032258,294,60,349,301,4.392026578073089
/contact-us/,281,9,280,0.44483985765124556,272,156,425,279,22.06810035842294
/find-a-consultant/,256,2,145,0.56640625,91,111,364,141,46.751773049645394
/sales-agility-assessment/?locationid=34932103,220,0,199,0.7954545454545454,196,45,362,199,14.190954773869347
/free-sales-resources/,195,0,116,0.7794871794871795,97,43,280,114,49.421052631578945
/advisors/enrico-parodi/,161,0,156,0.7453416149068323,159,41,206,156,5.480769230769231
/sales-agility-assessment/?locationid=25429584,158,0,154,0.8924050632911392,155,17,230,154,14.116883116883116
/case-studies/,149,0,130,0.6040268456375839,118,59,301,129,62.18604651162791
/client-solutions/,149,0,131,0.5973154362416108,82,60,248,121,50.80165289256198
/advisors/glenn-kurtz/,131,0,131,0.32061068702290074,135,89,149,131,31.366412213740457
/private-equity-solutions/tech-mfg-case-study/,118,0,94,0.576271186440678,86,50,169,92,57.22826086956522
/the-power-of-data-how-to-drive-sales-growth-with-analytics/,107,0,105,0.6261682242990654,105,40,124,104,13.125
/podcasts/,104,1,92,0.46153846153846156,78,56,175,90,24.833333333333332
/news-events/top-sales-experts-join-sales-xceleration-to-boost-small-business-success/,102,0,99,0.46078431372549017,80,55,154,96,29.114583333333332
/sales-agility-assessment/?locationid=67265436,102,0,103,0.5392156862745098,103,47,105,103,13.359223300970873
/job/vp-of-sales-revenue-opportunity-300k-nashville-tn/,96,0,95,0.8854166666666666,92,11,101,95,5.578947368421052
/ai-sales-tools-readiness-assessment/,95,0,67,0.6631578947368421,52,32,298,65,70.0923076923077
